"","gene_oid","Locus.Tag","Gene.Symbol","Product.Name","DNA.Seq.Length","AA.Seq.Length","Genome","Enzymes","COGs","COG.Categories","Pfams","TIGRfams","Signal.Peptide","Transmembrane.Helices","Kegg.Category","modulekey"
"2202",2583045269,"TH6736DRAFT_00041",NA,"acetyl-CoA acetyltransferases",1221,407,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:2.3.1.9","COG0183","I","pfam00108 pfam02803","TIGR01930","No","No","Carbon fixation - prokaryotic","M00309"
"2203",2583045387,"TH6736DRAFT_00159",NA,"Carbamoyl-phosphate synthase L chain, N-terminal domain/Carbamoyl-phosphate synthase L chain, ATP binding domain/Biotin carboxylase C-terminal domain",1359,452,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:6.3.4.14 EC:6.4.1.2","","","pfam00289 pfam02785 pfam02786","TIGR00514","No","No","Carbon fixation - prokaryotic","M00002"
"2204",2583045454,"TH6736DRAFT_00226",NA,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",879,292,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:1.5.1.5 EC:3.5.4.9","COG0190","H","pfam00763 pfam02882","","No","No","Carbon fixation - prokaryotic",""
"2205",2583045488,"TH6736DRAFT_00260",NA,"fumarase, class I, homodimeric (EC 4.2.1.2)",1620,540,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:4.2.1.2","COG1951","C","pfam05681 pfam05683","TIGR00723","No","No","Carbon fixation - prokaryotic","M00174"
"2206",2583045701,"TH6736DRAFT_00473",NA,"fumarase, class II (EC 4.2.1.2)",1401,466,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:4.2.1.2","COG0114","C","pfam00206 pfam10415","TIGR00979","No","No","Carbon fixation - prokaryotic","M00174"
"2207",2583045850,"TH6736DRAFT_00622",NA,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit",807,268,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:1.3.5.1","COG0479","C","pfam12838 pfam13085","TIGR00384","No","No","Carbon fixation - prokaryotic","M00065"
"2208",2583045851,"TH6736DRAFT_00623",NA,"succinate dehydrogenase subunit A (EC 1.3.5.1)",1920,639,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:1.3.5.1","COG1053","C","pfam00890 pfam02910","TIGR01811","No","No","Carbon fixation - prokaryotic","M00065"
"2209",2583045852,"TH6736DRAFT_00624",NA,"succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family",657,218,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","","","","pfam01127","TIGR02046","No","Yes","Carbon fixation - prokaryotic",NA
"2210",2583046278,"TH6736DRAFT_01050",NA,"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",2454,817,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:1.2.99.2","COG1529","C","pfam01315 pfam02738","","No","No","Carbon fixation - prokaryotic",NA
"2211",2583046455,"TH6736DRAFT_01227",NA,"pyruvate:ferredoxin (flavodoxin) oxidoreductase, homodimeric",3531,1177,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:1.2.7.-","COG0674","C","pfam01558 pfam01855 pfam02775 pfam10371","TIGR02176","No","No","Carbon fixation - prokaryotic","M00173"
"2212",2583046741,"TH6736DRAFT_01514",NA,"Propanediol utilization protein",636,211,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.6736","EC:2.3.1.8","COG4869","Q","pfam06130","","No","No","Carbon fixation - prokaryotic","M00531"
"2213",2583046771,"TH680DRAFT_00026",NA,"succinyl-CoA synthetase, beta subunit",1161,386,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:6.2.1.5","COG0045","C","pfam00549 pfam08442","TIGR01016","No","No","Carbon fixation - prokaryotic","M00356"
"2214",2583046772,"TH680DRAFT_00027",NA,"succinyl-CoA synthetase (ADP-forming) alpha subunit (EC 6.2.1.5)",882,293,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:6.2.1.5","COG0074","C","pfam00549 pfam02629","TIGR01019","No","No","Carbon fixation - prokaryotic","M00356"
"2215",2583046776,"TH680DRAFT_00031",NA,"methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)/5,10-methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)",852,283,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.5.1.5 EC:3.5.4.9","COG0190","H","pfam00763 pfam02882","","No","No","Carbon fixation - prokaryotic",""
"2216",2583046778,"TH680DRAFT_00033",NA,"malate dehydrogenase (NAD) (EC 1.1.1.37)",957,318,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.1.1.37","COG0039","C","pfam00056 pfam02866","TIGR01763","No","No","Carbon fixation - prokaryotic","M00345"
"2217",2583046779,"TH680DRAFT_00034",NA,"isocitrate dehydrogenase (NADP) (EC 1.1.1.42)",1215,404,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.1.1.42","COG0538","C","pfam00180","TIGR00127","No","No","Carbon fixation - prokaryotic","M00344"
"2218",2583046788,"TH680DRAFT_00043",NA,"propionyl-CoA carboxylase carboxyltransferase subunit",1569,522,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:6.4.1.3","COG4799","I","pfam01039","","No","No","Carbon fixation - prokaryotic","M00307"
"2219",2583046824,"TH680DRAFT_00079",NA,"Phosphoenolpyruvate carboxylase, type 1 (EC 4.1.1.31)",2637,878,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:4.1.1.31","COG2352","C","pfam00311","","No","No","Carbon fixation - prokaryotic","M00173"
"2220",2583046913,"TH680DRAFT_00168",NA,"pyruvate phosphate dikinase (EC 2.7.9.1)",2658,885,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:2.7.9.1","COG0574","G","pfam00391 pfam01326 pfam02896","TIGR01828","No","No","Carbon fixation - prokaryotic","M00170"
"2221",2583046939,"TH680DRAFT_00194",NA,"fumarase, class I, homodimeric (EC 4.2.1.2)",1671,556,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:4.2.1.2","COG1951","C","pfam05681 pfam05683","TIGR00723 TIGR00722","No","No","Carbon fixation - prokaryotic","M00174"
"2222",2583046962,"TH680DRAFT_00217",NA,"acetate--CoA ligase",1956,651,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:6.2.1.1","COG0365","I","pfam00501 pfam13193","TIGR02188","No","No","Carbon fixation - prokaryotic","M00357"
"2223",2583047202,"TH680DRAFT_00459",NA,"5,10-methylenetetrahydrofolate reductase, prokaryotic form",864,287,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.5.1.20","COG0685","E","pfam02219","TIGR00676","No","No","Carbon fixation - prokaryotic","M00377"
"2224",2583047433,"TH680DRAFT_00691",NA,"Formate-tetrahydrofolate ligase (EC 6.3.4.3)",1665,554,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:6.3.4.3","COG2759","F","pfam01268","","No","No","Carbon fixation - prokaryotic","M00068"
"2225",2583047520,"TH680DRAFT_00778",NA,"5,10-methylenetetrahydrofolate reductase",870,290,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.5.1.20","COG0685","E","pfam02219","","No","No","Carbon fixation - prokaryotic","M00377"
"2226",2583047807,"TH680DRAFT_01066",NA,"succinate dehydrogenase subunit B (EC 1.3.5.1)",762,253,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.3.5.1","COG0479","C","pfam13085 pfam13183","TIGR00384","No","No","Carbon fixation - prokaryotic","M00065"
"2227",2583047808,"TH680DRAFT_01067",NA,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",1887,628,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.3.5.1","COG1053","C","pfam00890 pfam02910","","No","No","Carbon fixation - prokaryotic","M00065"
"2228",2583047969,"TH680DRAFT_01228",NA,"2-oxoacid:acceptor oxidoreductase, alpha subunit",1830,609,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.2.7.3","COG0674","C","pfam01558 pfam01855","TIGR03710","No","No","Carbon fixation - prokaryotic","M00563"
"2229",2583047970,"TH680DRAFT_01229",NA,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",945,314,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:1.2.7.3","","","pfam02775","","No","No","Carbon fixation - prokaryotic","M00563"
"2230",2583048053,"TH680DRAFT_01312",NA,"aconitase (EC 4.2.1.3)",2658,885,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.680","EC:4.2.1.3","COG1048","C","pfam00330 pfam00694","TIGR01341","No","No","Carbon fixation - prokaryotic","M00001"
"2231",2583048286,"TH7795DRAFT_00188",NA,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",792,263,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7795","EC:1.5.1.5 EC:3.5.4.9","COG0190","H","pfam00763 pfam02882","","No","No","Carbon fixation - prokaryotic",""
"2232",2583048901,"TH7795DRAFT_00803",NA,"pyruvate ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1)",540,179,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7795","EC:1.2.7.1","COG1014","C","pfam01558","TIGR02175","No","No","Carbon fixation - prokaryotic","M00528"
"2233",2583048902,"TH7795DRAFT_00804",NA,"2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family",276,91,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7795","EC:1.2.7.1","COG1144","C","pfam12838","TIGR02179","No","No","Carbon fixation - prokaryotic","M00528"
"2234",2583048903,"TH7795DRAFT_00805",NA,"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit",1155,384,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7795","EC:1.2.7.1","COG0674","C","pfam01855","","No","No","Carbon fixation - prokaryotic","M00528"
"2235",2583048905,"TH7795DRAFT_00807",NA,"pyruvate ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)",873,290,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7795","EC:1.2.7.1","COG1013","C","pfam02775","","No","No","Carbon fixation - prokaryotic","M00528"
"2236",2583049043,"TH7925DRAFT_00057",NA,"3-hydroxyacyl-CoA dehydrogenase",2298,765,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.1.1.35","COG1250","I","pfam00378 pfam00725 pfam02737","","No","No","Carbon fixation - prokaryotic","M00108"
"2237",2583049054,"TH7925DRAFT_00068",NA,"Aerobic-type carbon monoxide dehydrogenase, middle subunit CoxM/CutM homologs",792,263,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.2.99.2","COG1319","C","pfam00941 pfam03450","","No","No","Carbon fixation - prokaryotic",NA
"2238",2583049055,"TH7925DRAFT_00069",NA,"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",2379,792,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.2.99.2","COG1529","C","pfam01315 pfam02738","TIGR02416","No","No","Carbon fixation - prokaryotic",NA
"2239",2583049088,"TH7925DRAFT_00102",NA,"Biotin carboxyl carrier protein",462,153,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","","COG0511","I","pfam00364","TIGR00531","No","No","Carbon fixation - prokaryotic",NA
"2240",2583049089,"TH7925DRAFT_00103",NA,"acetyl-CoA carboxylase, biotin carboxylase subunit",1338,445,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:6.3.4.14 EC:6.4.1.2","","","pfam00289 pfam02785 pfam02786","TIGR00514","No","No","Carbon fixation - prokaryotic","M00002"
"2241",2583049159,"TH7925DRAFT_00173",NA,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit",957,318,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:6.4.1.2","COG0825","I","pfam03255","TIGR00513","No","No","Carbon fixation - prokaryotic","M00002"
"2242",2583049513,"TH7925DRAFT_00527",NA,"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs",2127,709,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.2.99.2","COG1529","C","pfam01315 pfam02738","","No","No","Carbon fixation - prokaryotic",NA
"2243",2583049613,"TH7925DRAFT_00627",NA,"succinate dehydrogenase and fumarate reductase iron-sulfur protein",786,261,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.3.5.1","COG0479","C","pfam13085 pfam13183","TIGR00384","No","No","Carbon fixation - prokaryotic","M00065"
"2244",2583049635,"TH7925DRAFT_00649",NA,"Acetyl-CoA acetyltransferase",1170,389,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:2.3.1.9","COG0183","I","pfam00108 pfam02803","","No","No","Carbon fixation - prokaryotic","M00309"
"2245",2583049639,"TH7925DRAFT_00653",NA,"succinyl-CoA synthetase (ADP-forming) beta subunit (EC 6.2.1.5)",852,283,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:6.2.1.5","COG0045","C","pfam00549 pfam08442","TIGR01016","No","No","Carbon fixation - prokaryotic","M00356"
"2246",2583049640,"TH7925DRAFT_00654",NA,"succinyl-CoA synthetase (ADP-forming) alpha subunit (EC 6.2.1.5)",876,291,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:6.2.1.5","COG0074","C","pfam00549 pfam02629","TIGR01019","No","No","Carbon fixation - prokaryotic","M00356"
"2247",2583049787,"TH7925DRAFT_00801",NA,"Biotin-requiring enzyme",219,72,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","","","","pfam00364","","No","No","Carbon fixation - prokaryotic",NA
"2248",2583049932,"TH7925DRAFT_00946",NA,"succinate dehydrogenase subunit C (EC 1.3.5.1)",432,143,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","","COG2009","C","pfam01127","TIGR02970","No","Yes","Carbon fixation - prokaryotic",NA
"2249",2583049933,"TH7925DRAFT_00947",NA,"succinate dehydrogenase, hydrophobic membrane anchor protein",408,135,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","","COG2142","C","pfam01127","TIGR02968","No","Yes","Carbon fixation - prokaryotic",NA
"2250",2583049953,"TH7925DRAFT_00967",NA,"acetyl-CoA acetyltransferases",1005,334,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:2.3.1.9","COG0183","I","pfam00108 pfam02803","TIGR01930","No","No","Carbon fixation - prokaryotic","M00309"
"2251",2583049965,"TH7925DRAFT_00979",NA,"pyruvate:ferredoxin (flavodoxin) oxidoreductase, homodimeric",2757,918,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.2.7.-","COG1013","C","pfam01558 pfam02775 pfam10371 pfam12838","TIGR02176","No","No","Carbon fixation - prokaryotic","M00173"
"2252",2583050056,"TH7925DRAFT_01070",NA,"Acetyl-CoA acetyltransferase",1173,390,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:2.3.1.9","COG0183","I","","","No","No","Carbon fixation - prokaryotic","M00309"
"2253",2583050109,"TH7925DRAFT_01123",NA,"5,10-methylenetetrahydrofolate reductase (NAD(P)) (EC 1.5.1.20)",942,313,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:1.5.1.20","COG0685","E","pfam02219","TIGR00676","No","No","Carbon fixation - prokaryotic","M00377"
"2254",2583050137,"TH7925DRAFT_01151",NA,"aconitate hydratase 1",2691,896,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7925","EC:4.2.1.3","COG1048","C","pfam00330 pfam00694","TIGR01341","No","No","Carbon fixation - prokaryotic","M00001"
"2255",2583050294,"TH7934DRAFT_00031",NA,"aconitase (EC 4.2.1.3)",2250,749,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:4.2.1.3","COG1048","C","pfam00330 pfam00694","TIGR01340","No","No","Carbon fixation - prokaryotic","M00001"
"2256",2583050389,"TH7934DRAFT_00126",NA,"2-oxoacid:acceptor oxidoreductase, alpha subunit",1848,615,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:1.2.7.3","COG0674","C","pfam01558 pfam01855","TIGR03710","No","No","Carbon fixation - prokaryotic","M00563"
"2257",2583050592,"TH7934DRAFT_00330",NA,"Conserved carboxylase domain/HMGL-like",1284,427,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:6.4.1.1","","","pfam00682 pfam02436","","No","No","Carbon fixation - prokaryotic","M00374"
"2258",2583050728,"TH7934DRAFT_00466",NA,"acetate kinase",1203,400,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:2.7.2.1","COG0282","C","pfam00871","TIGR00016","No","No","Carbon fixation - prokaryotic","M00530"
"2259",2583050730,"TH7934DRAFT_00468",NA,"phosphate acetyltransferase",1002,333,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:2.3.1.8","COG0280","C","pfam01515","TIGR00651","No","No","Carbon fixation - prokaryotic","M00531"
"2260",2583050821,"TH7934DRAFT_00560",NA,"succinyl-CoA synthetase, beta subunit",1143,380,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:6.2.1.5","COG0045","C","pfam00549 pfam08442","TIGR01016","No","No","Carbon fixation - prokaryotic","M00356"
"2261",2583051173,"TH7934DRAFT_00912",NA,"succinate dehydrogenase (or fumarate reductase) cytochrome b subunit, b558 family",669,222,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","","","","","TIGR02046","No","Yes","Carbon fixation - prokaryotic",NA
"2262",2583051196,"TH7934DRAFT_00935",NA,"Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit",438,145,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:1.2.7.3","COG1014","C","pfam01558","","No","No","Carbon fixation - prokaryotic","M00563"
"2263",2583051210,"TH7934DRAFT_00949",NA,"Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)",1536,511,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:6.4.1.3","COG4799","I","pfam01039","","No","No","Carbon fixation - prokaryotic","M00307"
"2264",2583051211,"TH7934DRAFT_00950",NA,"Acetyl/propionyl-CoA carboxylase, alpha subunit",1497,498,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:6.3.4.14 EC:6.4.1.2","COG4770","I","pfam00289 pfam02785 pfam02786","TIGR00514","No","No","Carbon fixation - prokaryotic","M00002"
"2265",2583051346,"TH7934DRAFT_01085",NA,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",882,293,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:1.5.1.5 EC:3.5.4.9","COG0190","H","pfam00763 pfam02882","","No","No","Carbon fixation - prokaryotic",""
"2266",2583051451,"TH7934DRAFT_01190",NA,"methylmalonyl-CoA epimerase (EC 5.1.99.1)",411,136,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:5.1.99.1","","","pfam13669","TIGR03081","No","No","Carbon fixation - prokaryotic","M00358"
"2267",2583051539,"TH7934DRAFT_01278",NA,"Ferredoxin",225,74,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:1.2.7.3","COG1146","C","pfam12838","","No","No","Carbon fixation - prokaryotic","M00563"
"2268",2583051569,"TH7934DRAFT_01309",NA,"fumarase, class I, homodimeric (EC 4.2.1.2)",1275,425,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:4.2.1.2","COG1951","C","pfam05681 pfam05683","TIGR00722","No","No","Carbon fixation - prokaryotic","M00174"
"2269",2583051802,"TH7934DRAFT_01542",NA,"acetyl-coenzyme A synthetase (EC 6.2.1.1)",1896,631,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:6.2.1.1","COG0365","I","pfam00501 pfam13193","TIGR02188","No","No","Carbon fixation - prokaryotic","M00357"
"2270",2583051833,"TH7934DRAFT_01573",NA,"Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases",1659,552,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:6.2.1.1","COG0365","I","pfam00501 pfam13193","","No","Yes","Carbon fixation - prokaryotic","M00357"
"2271",2583052288,"TH7934DRAFT_02028",NA,"heterodimeric methylmalonyl-CoA mutase small subunit",1890,629,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:5.4.99.2","COG1884","I","pfam01642","TIGR00642 TIGR00641","No","No","Carbon fixation - prokaryotic","M00530"
"2272",2583052425,"TH7934DRAFT_02165",NA,"5,10-methylenetetrahydrofolate reductase (NAD(P)) (EC 1.5.1.20)",948,315,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.7934","EC:1.5.1.20","COG0685","E","pfam02219","TIGR00676","No","No","Carbon fixation - prokaryotic","M00377"
"2273",2595237351,"TH00941DRAFT_00313",NA,"5,10-methylenetetrahydrofolate reductase (NAD(P)) (EC 1.5.1.20)",837,278,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:1.5.1.20","COG0685","E","pfam02219","TIGR00676","No","No","Carbon fixation - prokaryotic","M00377"
"2274",2595237436,"TH00941DRAFT_00398",NA,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",855,284,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:1.5.1.5 EC:3.5.4.9","COG0190","H","pfam00763 pfam02882","","No","No","Carbon fixation - prokaryotic",""
"2275",2595237539,"TH00941DRAFT_00501",NA,"phosphoenolpyruvate synthase (EC 2.7.9.2)",2403,800,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:2.7.9.2","COG0574","G","pfam00391 pfam01326 pfam02896","TIGR01418","No","No","Carbon fixation - prokaryotic","M00375"
"2276",2595237589,"TH00941DRAFT_00551",NA,"acetyl-CoA acetyltransferases",1185,394,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:2.3.1.9","COG0183","I","pfam00108 pfam02803","TIGR01930","No","No","Carbon fixation - prokaryotic","M00309"
"2277",2595237606,"TH00941DRAFT_00568",NA,"acetyl-CoA carboxylase, biotin carboxylase subunit",2037,678,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:6.4.1.3","COG4770","I","pfam00289 pfam00364 pfam02785 pfam02786","TIGR00514","No","No","Carbon fixation - prokaryotic","M00307"
"2278",2595237607,"TH00941DRAFT_00569",NA,"Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)",1533,510,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:6.4.1.3","COG4799","I","pfam01039","","No","No","Carbon fixation - prokaryotic","M00307"
"2279",2595237609,"TH00941DRAFT_00571",NA,"methylmalonyl-CoA mutase C-terminal domain/methylmalonyl-CoA mutase N-terminal domain",2187,728,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:5.4.99.2","COG1884","I","pfam01642 pfam02310","TIGR00641 TIGR00640","No","No","Carbon fixation - prokaryotic","M00530"
"2280",2595237671,"TH00941DRAFT_00633",NA,"Uncharacterized conserved protein",885,294,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","","COG3777","S","pfam13452","","No","No","Carbon fixation - prokaryotic",NA
"2281",2595237867,"TH00941DRAFT_00830",NA,"acetyl-CoA carboxylase, biotin carboxylase subunit",1368,455,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:6.3.4.14 EC:6.4.1.2","COG0439","I","pfam00289 pfam02785 pfam02786","TIGR00514","No","No","Carbon fixation - prokaryotic","M00002"
"2282",2595237868,"TH00941DRAFT_00831",NA,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",459,152,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","","COG0511","I","pfam00364","TIGR00531","No","No","Carbon fixation - prokaryotic",NA
"2283",2595237908,"TH00941DRAFT_00871",NA,"fumarase, class II (EC 4.2.1.2)",1389,462,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:4.2.1.2","COG0114","C","pfam00206 pfam10415","TIGR00979","No","No","Carbon fixation - prokaryotic","M00174"
"2284",2595237944,"TH00941DRAFT_00907",NA,"Phosphoenolpyruvate carboxylase, type 1 (EC 4.1.1.31)",2796,931,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:4.1.1.31","COG2352","C","pfam00311","","No","No","Carbon fixation - prokaryotic","M00173"
"2285",2595237990,"TH00941DRAFT_00955",NA,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit",972,323,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:6.4.1.2","COG0825","I","pfam03255","TIGR00513","No","No","Carbon fixation - prokaryotic","M00002"
"2286",2595238034,"TH00941DRAFT_00999",NA,"fumarase, class I, homodimeric (EC 4.2.1.2)",1524,507,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:4.2.1.2","COG1951","C","pfam05681 pfam05683","TIGR00722 TIGR00723","No","No","Carbon fixation - prokaryotic","M00174"
"2287",2595238035,"TH00941DRAFT_01000",NA,"acetate--CoA ligase",1974,657,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:6.2.1.1","COG0365","I","pfam00501 pfam13193","TIGR02188","No","No","Carbon fixation - prokaryotic","M00357"
"2288",2595238037,"TH00941DRAFT_01002",NA,"succinate dehydrogenase, hydrophobic membrane anchor protein",366,121,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","","COG2142","C","pfam01127","TIGR02968","No","Yes","Carbon fixation - prokaryotic",NA
"2289",2595238038,"TH00941DRAFT_01003",NA,"succinate dehydrogenase subunit A (EC 1.3.5.1)",1779,592,"Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2","EC:1.3.5.1","COG1053","C","pfam00890 pfam02910","TIGR01816 TIGR01812","No","No","Carbon fixation - prokaryotic","M00065"
