"SAMPLE","PWY_NAME","PWY_COMMON_NAME","RXN","ORF","coverage"
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","ASPARTATE--TRNA-LIGASE-RXN","m2582580556_172_0",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","HISTIDINE--TRNA-LIGASE-RXN","m2582580556_31_10",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","METHIONINE--TRNA-LIGASE-RXN","m2582580556_97_15",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","ASPARTATE--TRNA-LIGASE-RXN","m2582580556_207_0",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","CYSTEINE--TRNA-LIGASE-RXN","m2582580556_234_1",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","ISOLEUCINE--TRNA-LIGASE-RXN","m2582580556_190_3",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","SERINE--TRNA-LIGASE-RXN","m2582580556_75_2",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","ALANINE--TRNA-LIGASE-RXN","m2582580556_261_5",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","PHENYLALANINE--TRNA-LIGASE-RXN","m2582580556_198_3",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","TYROSINE--TRNA-LIGASE-RXN","m2582580556_208_3",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","GLUTAMINE--TRNA-LIGASE-RXN","m2582580556_112_2",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","PROLINE--TRNA-LIGASE-RXN","m2582580556_262_3",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","LEUCINE--TRNA-LIGASE-RXN","m2582580556_61_0",76.1904761904762
"m2582580556","TRNA-CHARGING-PWY","tRNA charging","VALINE--TRNA-LIGASE-RXN","m2582580556_176_7",76.1904761904762
"m2582580556","GLYSYN-PWY","glycine biosynthesis I","GLYOHMETRANS-RXN","m2582580556_171_28",100
"m2582580556","PWY-5350","thiosulfate disproportionation III (rhodanese)","THIOSULFATE-SULFURTRANSFERASE-RXN","m2582580556_171_18",100
"m2582580556","PWY-1801","formaldehyde oxidation II (glutathione-dependent)","RXN-2961","m2582580556_226_9",100
"m2582580556","PWY-1801","formaldehyde oxidation II (glutathione-dependent)","RXN-2962","m2582580556_263_6",100
"m2582580556","PWY-1801","formaldehyde oxidation II (glutathione-dependent)","RXN-2962","m2582580556_226_11",100
"m2582580556","PWY-1801","formaldehyde oxidation II (glutathione-dependent)","S-FORMYLGLUTATHIONE-HYDROLASE-RXN","m2582580556_226_10",100
"m2582580556","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","PHOSPHOGLUCMUT-RXN","m2582580556_237_17",100
"m2582580556","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLYCOGENSYN-RXN","m2582580556_18_2",100
"m2582580556","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLYCOGEN-BRANCH-RXN","m2582580556_15_2",100
"m2582580556","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","GLUC1PADENYLTRANS-RXN","m2582580556_15_3",100
"m2582580556","MANNCAT-PWY","D-mannose degradation","MANNPISOM-RXN","m2582580556_223_6",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1133","m2582580556_38_7",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1132","m2582580556_119_12",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1134","m2582580556_38_8",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1132","m2582580556_38_5",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1134","m2582580556_39_15",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1134","m2582580556_39_14",100
"m2582580556","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA","RXN0-1132","m2582580556_105_8",100
"m2582580556","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","RXN-7716","m2582580556_105_8",100
"m2582580556","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","2OXOGLUTDECARB-RXN","m2582580556_119_10",100
"m2582580556","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","RXN-7716","m2582580556_38_5",100
"m2582580556","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","RXN-7716","m2582580556_119_12",100
"m2582580556","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA","RXN0-1147","m2582580556_119_11",100
"m2582580556","PWY-6038","citrate degradation","CITTRANS-RXN","m2582580556_119_1",100
"m2582580556","GLUTORN-PWY","L-ornithine biosynthesis I","ACETYLGLUTKIN-RXN","m2582580556_172_5",80
"m2582580556","GLUTORN-PWY","L-ornithine biosynthesis I","N-ACETYLTRANSFER-RXN","m2582580556_109_12",80
"m2582580556","GLUTORN-PWY","L-ornithine biosynthesis I","N-ACETYLTRANSFER-RXN","m2582580556_38_1",80
"m2582580556","GLUTORN-PWY","L-ornithine biosynthesis I","N-ACETYLGLUTPREDUCT-RXN","m2582580556_219_2",80
"m2582580556","GLUTORN-PWY","L-ornithine biosynthesis I","ACETYLORNTRANSAM-RXN","m2582580556_28_5",80
"m2582580556","PWY-6952","glycerophosphodiester degradation","RXN0-5260","m2582580556_107_20",100
"m2582580556","PWY-6952","glycerophosphodiester degradation","RXN0-5260","m2582580556_107_21",100
"m2582580556","PWY-6952","glycerophosphodiester degradation","GLYCPDIESTER-RXN","m2582580556_264_2",100
"m2582580556","PWY-6012-1","acyl carrier protein activation","HOLO-ACP-SYNTH-RXN","m2582580556_102_34",100
"m2582580556","GLYCLEAV-PWY","glycine cleavage","RXN-8629","m2582580556_119_12",100
"m2582580556","GLYCLEAV-PWY","glycine cleavage","RXN-8629","m2582580556_38_5",100
"m2582580556","GLYCLEAV-PWY","glycine cleavage","GCVT-RXN","m2582580556_138_6",100
"m2582580556","GLYCLEAV-PWY","glycine cleavage","GCVP-RXN","m2582580556_105_12",100
"m2582580556","GLYCLEAV-PWY","glycine cleavage","RXN-8629","m2582580556_105_8",100
"m2582580556","GLYCLEAV-PWY","glycine cleavage","GCVT-RXN","m2582580556_105_14",100
"m2582580556","PWY-5","canavanine biosynthesis","RXN-9","m2582580556_28_6",75
"m2582580556","PWY-5","canavanine biosynthesis","RXN-10","m2582580556_28_7",75
"m2582580556","PWY-5","canavanine biosynthesis","RXN-22","m2582580556_149_3",75
"m2582580556","PWY-5274","sulfide oxidation II (sulfide dehydrogenase)","RXN-8156","m2582580556_192_1",100
"m2582580556","PWY1-2","L-alanine degradation IV","ALANINE-DEHYDROGENASE-RXN","m2582580556_98_3",100
"m2582580556","PWY-1881","formate oxidation to CO2","1.2.1.2-RXN","m2582580556_117_0",100
"m2582580556","PWY-1881","formate oxidation to CO2","1.2.1.2-RXN","m2582580556_187_13",100
"m2582580556","PWY-1881","formate oxidation to CO2","1.2.1.2-RXN","m2582580556_222_3",100
"m2582580556","PWY-1881","formate oxidation to CO2","1.2.1.2-RXN","m2582580556_122_3",100
"m2582580556","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580556_21_5",100
"m2582580556","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580556_199_5",100
"m2582580556","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580556_217_0",100
"m2582580556","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580556_187_1",100
"m2582580556","PWY-6333","acetaldehyde biosynthesis I","ALCOHOL-DEHYDROG-RXN","m2582580556_250_3",100
"m2582580556","PWY-5278","sulfite oxidation III","ADENYLYLSULFATE-REDUCTASE-RXN","m2582580556_238_1",100
"m2582580556","PWY-5278","sulfite oxidation III","SULFATE-ADENYLYLTRANS-RXN","m2582580556_171_46",100
"m2582580556","PWY-5278","sulfite oxidation III","SULFATE-ADENYLYLTRANS-RXN","m2582580556_238_2",100
"m2582580556","PWY-5278","sulfite oxidation III","ADENYLYLSULFATE-REDUCTASE-RXN","m2582580556_238_0",100
"m2582580556","PWY-5278","sulfite oxidation III","SULFATE-ADENYLYLTRANS-RXN","m2582580556_171_47",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","RXN-15513","m2582580556_171_29",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","6PFRUCTPHOS-RXN","m2582580556_137_7",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","RXN-15513","m2582580556_171_20",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","GLUCOKIN-RXN","m2582580556_15_0",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","PEPDEPHOS-RXN","m2582580556_178_3",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","GAPOXNPHOSPHN-RXN","m2582580556_79_3",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","PHOSGLYPHOS-RXN","m2582580556_79_2",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","PEPDEPHOS-RXN","m2582580556_286_0",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","GLUCOKIN-RXN","m2582580556_223_1",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","PEPDEPHOS-RXN","m2582580556_79_1",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","2PGADEHYDRAT-RXN","m2582580556_226_3",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","TRIOSEPISOMERIZATION-RXN","m2582580556_155_1",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","F16ALDOLASE-RXN","m2582580556_79_0",100
"m2582580556","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","PGLUCISOM-RXN","m2582580556_18_1",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PEPSYNTH-RXN","m2582580556_285_0",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","F16BDEPHOS-RXN","m2582580556_131_2",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","2PGADEHYDRAT-RXN","m2582580556_226_3",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PEPDEPHOS-RXN","m2582580556_79_1",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","TRIOSEPISOMERIZATION-RXN","m2582580556_155_1",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","GAPOXNPHOSPHN-RXN","m2582580556_79_3",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PEPDEPHOS-RXN","m2582580556_178_3",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PEPSYNTH-RXN","m2582580556_285_1",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PEPDEPHOS-RXN","m2582580556_286_0",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PHOSGLYPHOS-RXN","m2582580556_79_2",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","3PGAREARR-RXN","m2582580556_171_20",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","6PFRUCTPHOS-RXN","m2582580556_137_7",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","3PGAREARR-RXN","m2582580556_171_29",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PGLUCISOM-RXN","m2582580556_18_1",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","PEPSYNTH-RXN","m2582580556_23_9",100
"m2582580556","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","F16ALDOLASE-RXN","m2582580556_79_0",100
"m2582580556","PWY-6268","adenosylcobalamin salvage from cobalamin","COBALADENOSYLTRANS-RXN","m2582580556_186_1",100
"m2582580556","PWY-6268","adenosylcobalamin salvage from cobalamin","COBALADENOSYLTRANS-RXN","m2582580556_279_3",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ATPSYN-RXN","m2582580556_169_14",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ADENYL-KIN-RXN","m2582580556_137_6",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ADENYLOSUCCINATE-SYNTHASE-RXN","m2582580556_31_0",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ATPSYN-RXN","m2582580556_118_0",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ATPSYN-RXN","m2582580556_118_3",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","AMPSYN-RXN","m2582580556_220_2",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ATPSYN-RXN","m2582580556_118_1",100
"m2582580556","PWY-7219","adenosine ribonucleotides de novo biosynthesis","ATPSYN-RXN","m2582580556_118_2",100
"m2582580556","PWY0-1313","acetate conversion to acetyl-CoA","ACETATE--COA-LIGASE-RXN","m2582580556_39_16",100
"m2582580556","PWY0-1313","acetate conversion to acetyl-CoA","ACETATE--COA-LIGASE-RXN","m2582580556_92_9",100
"m2582580556","PWY0-1313","acetate conversion to acetyl-CoA","ACETATE--COA-LIGASE-RXN","m2582580556_146_5",100
"m2582580556","PWY0-1313","acetate conversion to acetyl-CoA","ACETATE--COA-LIGASE-RXN","m2582580556_185_2",100
"m2582580556","NAGLIPASYN-PWY","lipid IVA biosynthesis","UDPACYLGLCNACDEACETYL-RXN","m2582580556_124_1",100
"m2582580556","NAGLIPASYN-PWY","lipid IVA biosynthesis","UDPNACETYLGLUCOSAMACYLTRANS-RXN","m2582580556_148_9",100
"m2582580556","NAGLIPASYN-PWY","lipid IVA biosynthesis","TETRAACYLDISACC4KIN-RXN","m2582580556_137_3",100
"m2582580556","NAGLIPASYN-PWY","lipid IVA biosynthesis","LIPIDXSYNTHESIS-RXN","m2582580556_34_6",100
"m2582580556","NAGLIPASYN-PWY","lipid IVA biosynthesis","LIPIDADISACCHARIDESYNTH-RXN","m2582580556_148_8",100
"m2582580556","NAGLIPASYN-PWY","lipid IVA biosynthesis","UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN","m2582580556_148_11",100
"m2582580556","PWY-5783","octaprenyl diphosphate biosynthesis","RXN-8992","m2582580556_149_0",100
"m2582580556","PWY-5783","octaprenyl diphosphate biosynthesis","RXN-8992","m2582580556_196_7",100
"m2582580556","PWY-5886","4-hydroxyphenylpyruvate biosynthesis","TYROSINE-AMINOTRANSFERASE-RXN","m2582580556_227_2",100
"m2582580556","PWY-5886","4-hydroxyphenylpyruvate biosynthesis","TYROSINE-AMINOTRANSFERASE-RXN","m2582580556_120_4",100
"m2582580556","PWY66-21","ethanol degradation II","ACETATE--COA-LIGASE-RXN","m2582580556_92_9",100
"m2582580556","PWY66-21","ethanol degradation II","ACETATE--COA-LIGASE-RXN","m2582580556_146_5",100
"m2582580556","PWY66-21","ethanol degradation II","ALCOHOL-DEHYDROG-RXN","m2582580556_250_3",100
"m2582580556","PWY66-21","ethanol degradation II","ACETATE--COA-LIGASE-RXN","m2582580556_39_16",100
"m2582580556","PWY66-21","ethanol degradation II","ALCOHOL-DEHYDROG-RXN","m2582580556_187_1",100
"m2582580556","PWY66-21","ethanol degradation II","RXN66-3","m2582580556_21_8",100
"m2582580556","PWY66-21","ethanol degradation II","ALCOHOL-DEHYDROG-RXN","m2582580556_217_0",100
"m2582580556","PWY66-21","ethanol degradation II","RXN66-3","m2582580556_97_22",100
"m2582580556","PWY66-21","ethanol degradation II","ALCOHOL-DEHYDROG-RXN","m2582580556_199_5",100
"m2582580556","PWY66-21","ethanol degradation II","ALCOHOL-DEHYDROG-RXN","m2582580556_21_5",100
"m2582580556","PWY66-21","ethanol degradation II","ACETATE--COA-LIGASE-RXN","m2582580556_185_2",100
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","2-OXOGLUTARATE-SYNTHASE-RXN","m2582580556_83_8",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","RXN-14971","m2582580556_58_6",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","CITSYN-RXN","m2582580556_119_9",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","MALATE-DEH-RXN","m2582580556_119_2",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","FUMHYDR-RXN","m2582580556_185_0",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","ACONITATEDEHYDR-RXN","m2582580556_119_0",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","RXN-14971","m2582580556_119_4",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","RXN-14971","m2582580556_119_6",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","RXN-14971","m2582580556_155_0",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","RXN-14971","m2582580556_58_7",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","ISOCITDEH-RXN","m2582580556_255_8",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","MALSYN-RXN","m2582580556_255_0",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","ISOCIT-CLEAV-RXN","m2582580556_255_3",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","2-OXOGLUTARATE-SYNTHASE-RXN","m2582580556_83_7",83.3333333333333
"m2582580556","PWY-6969","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)","RXN-14971","m2582580556_119_7",83.3333333333333
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","RXN-6261","m2582580556_28_13",75
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","RXN-8770","m2582580556_21_16",75
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","R344-RXN","m2582580556_279_3",75
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","COBINPGUANYLYLTRANS-RXN","m2582580556_21_11",75
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","R344-RXN","m2582580556_186_1",75
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","COBALAMIN5PSYN-RXN","m2582580556_21_15",75
"m2582580556","PWY-5509","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I","DMBPPRIBOSYLTRANS-RXN","m2582580556_21_14",75
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","TETHYDPICSUCC-RXN","m2582580556_23_0",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","TETHYDPICSUCC-RXN","m2582580556_183_0",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","DIAMINOPIMEPIM-RXN","m2582580556_268_4",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","DIAMINOPIMDECARB-RXN","m2582580556_251_0",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","RXN-14014","m2582580556_34_24",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","ASPARTATEKIN-RXN","m2582580556_86_0",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","SUCCINYLDIAMINOPIMTRANS-RXN","m2582580556_183_1",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","SUCCDIAMINOPIMDESUCC-RXN","m2582580556_23_2",88.8888888888889
"m2582580556","DAPLYSINESYN-PWY","L-lysine biosynthesis I","DIHYDRODIPICSYN-RXN","m2582580556_256_15",88.8888888888889
"m2582580556","VALSYN-PWY","L-valine biosynthesis","DIHYDROXYISOVALDEHYDRAT-RXN","m2582580556_179_12",100
"m2582580556","VALSYN-PWY","L-valine biosynthesis","ACETOLACTREDUCTOISOM-RXN","m2582580556_196_21",100
"m2582580556","VALSYN-PWY","L-valine biosynthesis","ACETOLACTSYN-RXN","m2582580556_196_23",100
"m2582580556","VALSYN-PWY","L-valine biosynthesis","BRANCHED-CHAINAMINOTRANSFERVAL-RXN","m2582580556_67_0",100
"m2582580556","VALSYN-PWY","L-valine biosynthesis","DIHYDROXYISOVALDEHYDRAT-RXN","m2582580556_19_13",100
"m2582580556","VALSYN-PWY","L-valine biosynthesis","ACETOLACTSYN-RXN","m2582580556_196_22",100
"m2582580556","VALSYN-PWY","L-valine biosynthesis","DIHYDROXYISOVALDEHYDRAT-RXN","m2582580556_25_0",100
"m2582580556","PWY-5669","phosphatidylethanolamine biosynthesis I","PHOSPHASERSYN-RXN","m2582580556_196_20",100
"m2582580556","PWY-5669","phosphatidylethanolamine biosynthesis I","PHOSPHASERDECARB-RXN","m2582580556_91_12",100
"m2582580556","PWY-5852","demethylmenaquinol-8 biosynthesis I","DMK-RXN","m2582580556_85_14",100
"m2582580556","PWY-5852","demethylmenaquinol-8 biosynthesis I","DMK-RXN","m2582580556_85_16",100
"m2582580556","PWY-5892","menaquinol-12 biosynthesis","RXN-9360","m2582580556_85_14",100
"m2582580556","PWY-5892","menaquinol-12 biosynthesis","RXN-9360","m2582580556_85_16",100
"m2582580556","PWY-5892","menaquinol-12 biosynthesis","RXN-9363","m2582580556_118_12",100
"m2582580556","PWY-6476","cytidylyl molybdenum cofactor biosynthesis","RXN0-6254","m2582580556_92_0",100
"m2582580556","PWY-6476","cytidylyl molybdenum cofactor biosynthesis","RXN0-6254","m2582580556_35_0",100
"m2582580556","PWY-5853","demethylmenaquinol-6 biosynthesis I","RXN-9217","m2582580556_85_14",100
"m2582580556","PWY-5853","demethylmenaquinol-6 biosynthesis I","RXN-9217","m2582580556_85_16",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_168_3",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_5",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","1.10.2.2-RXN","m2582580556_192_10",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_142_2",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_1",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580556_58_7",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_5",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_168_6",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_3",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_4",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_3",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580556_119_7",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_8",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_7",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_6",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_168_5",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_145_14",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_47_2",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_166_4",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","1.10.2.2-RXN","m2582580556_192_9",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_9",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_0",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_47_0",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_47_1",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","1.10.2.2-RXN","m2582580556_105_1",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_166_7",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580556_58_6",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580556_119_6",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580556_155_0",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_6",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_166_5",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_155_4",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN","m2582580556_119_4",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","1.10.2.2-RXN","m2582580556_224_4",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","CYTOCHROME-C-OXIDASE-RXN","m2582580556_168_4",100
"m2582580556","PWY-3781","aerobic respiration I (cytochrome c)","NADH-DEHYDROG-A-RXN","m2582580556_289_2",100
