IMGOID,GenomeName,Lake,Taxonomy(README),Taxonomy(GoogleDrive),Genome_Size,Est_Completeness,Genomess_w_>95%_ANI,Carbon_Metapathways,Carbon_IMG,Nitrogen_Meta,Nitrogen_IMG,Sulfur_Meta,Sulfur_IMG,Transporters,Annual_Trend,Motility,Other,,,Operon_check
2582580692,TH04848,TH,Bacteroidetes;Bacteroidia;Bacteroidales;;;,BACTEROIDETES;BACTEROIDIA;BACTEROIDALES;PORPHYROMONADACEAE,2833050,61.78,none,"lactose, mannose, melibiose, maltose, galactose, trehalose, chitin","chitobiose, fructose, glucose, fructan, rhamnose, rhamnulose, galactose, galactan, lactose, raffinose, stachyose, manninotriose, melibiose,,pectin, cellobiose, glucoside, starch/glycogen, maltose","putrescine_biosynthesis, canavanine_biosynthesis","nitrogen_fixation, ammonia_assimilation, hydroxylamine reductase",,"alkanesulfonate, methanesulfonate, sulfite reductaase","permease, LPS export, lipoprotein release, molybdate, phosphate, phospholipid, ribose, sulfonate, ribose",,one chemotaxis protein,"Oxidative phosphorylation, luciferase-like monooxygenase",,,n.fix
2582580603,ME07484,ME,Bacteroidetes;Cytophagia;Cytophagales;;;,BACTEROIDETES;CYTOPHAGIA;CYTOPHAGALES;FLAMMEOVIRGACEAE,3659184,87.49,none,"mannose, galactose","three carotenoid genes, formate, chitobiose, glucose, galactose, fructan, sucrose, glycolate, glucoside, cellobiose, maltose, isomaltose, dextrin, UDP-galacturonate, starch/glycogen",spermidine_biosynthesis,"ammonia_assimilation, one nitrate reductase, nitroalkane monooxygenase",thiosulfate,,"heme, iron, LPS export, lipoprotein release, phospholipid/cholesterol",,some chemotaxis,Oxidative phosphorylation,,,
2582580519,ME11260,ME,Bacteroidetes;Cytophagia;Cytophagales;;;,BACTEROIDETES;CYTOPHAGIA;CYTOPHAGALES;CYTOPHAGACEAE,1580367,61.62,none,"NAG, mannose, ethanol, rhamnose, glucose, melibiose","fructose, mannose, chitobiose, glucose, pectin, alpha and beta glucosidases","ammonia_assimilation, putrescine_biosynthesis",ammonia_assimlation,,only 1st step of sulf_red_ass,"branched aminos, heme export, inositol, LPS export, phosphate, phospholipid/chlosterol",,,Oxidative phosphorylation,,,
2582580592,ME06180,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;FLAVOBACTERIACEAE,2716659,95.87,none,"maltose, formate","three carotenoid genes, galactose, lactose, sucrose, glycolate, cellobiose, starch/glycogen, galacturonate",,ammonia_assimilation,,,"iron, LPS export, LPS transport, lipoprotein release, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580526,ME13165,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;CRYOMORPHACEAE,3312293,93.05,none,"mannose, formate","glucose, mannose, cellobiose",,ammonia_assimilation,thiosulfate,,"heme, LPS export, lipoprotein release, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580527,ME13530,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;FLAVOBACTERIACEAE,2376430,88.56,none,formate,"Carotenoid synthesis, starch/glycogen, one potential cellulose degradation gene",,ammonia_assimilation,thiosulfate,,"iron, LPS export, lipoprotein release, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580549,ME02278,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;FLAVOBACTERIACEAE,2610574,86.14,none,maltose,"UDP-NAG, mannose, glycolate, cellobiose",,ammonia_assimilation,,,"iron, LPS export, lipoprotein release, phospholipid/cholesterol, phosphate",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580568,ME34551,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;CRYOMORPHACEAE,2923340,86.01,none,"propanoyl-CoA, formate","carotenoid synthesis, chitin, glucose, mannose, starch/glycogen, maltose",putrescine_biosynthesis,ammonia_assimilation,,,"heme export, iron, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580543,ME18233,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;CRYOMORPHACEAE,1798465,68.82,none,,cellobiose,,ammonia_assimilation,,,"iron, LPS export, lipoprotein release, phospholipid/cholesterol, phosphate",,,Oxidative phosphorylation,,,
2582580597,ME06778,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;CRYOMORPHACEAE,1868933,65.14,none,mannose,"two carotenoid genes, chitobiose, cellobiose",,"ammonia_assimilation, nitronate monooxygenase",,,"iron, LPS export, phospholipid/cholesterol, sodium",,,Oxidative phosphorylation,,,
2582580694,TH05247,TH,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES,2536172,63.95,none,,"partial Wood-Ljungdahl, acetate, formate, chitobiose, glucose, starch/glycogen",,"nitrite reductase, ammonia_assimilation",,"sulfate_red_ass, thiosulfate","MacB-like domain, permease, heme, LPS export, lipoprotein, molybdate, phosphate, phospholipid/cholesterol",,a few chemotaxis protein,Oxidative phosphorylation,,,
2582580690,TH04697,TH,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;FLAVOBACTERIACEAE,2035176,63.93,none,maltose,"two carotenoid genes, galactose, fructan, sucrose, cellobiose, cellulose synthesis, maltose",,"partial denitrification, ammonia_assimilation",,,"Cu-processing, permease, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580580,ME05184,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES,1284389,60.27,none,propanoyl-CoA,"Some carotenoid genes, glycolate, trehalose, maltose, cellobiose, glucose",,ammonia_assimilation,,,"heme, iron, lipoprotein, peptide/nickel, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580602,ME07257,ME,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,BACTEROIDETES;FLAVOBACTERIIA;FLAVOBACTERIALES;CRYOMORPHACEAE,1284442,58.88,none,"mannose, maltose","two carotenoid genes, formate, fructose, cellobiose, glucoside,  maltose, sucrose",,,,partial sulfate_red_ass,"iron, LPS export, lipoprotein release, phospholipid/cholesterol, sodium",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580571,ME03713,ME,Bacteroidetes;Sphingobacteriia;[Blank];;;,BACTEROIDETES;SPHINGOBACTERIIA,1740562,79.38,none,"propanoyl-CoA, maltose","three carotenoid genes, mannose, glycolate, cellobiose",putrescine_biosynthesis,ammonia_assimilation,,,"heme export, iron, LPS export, lipoprotein release, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580583,ME05466,ME,Bacteroidetes;Sphingobacteriia;[Blank];;;,BACTEROIDETES;SPHINGOBACTERIIA,2085652,77.23,none,"ethanol, propanoyl-CoA, formate, glycolate, cellobiose",two carotenoid genes,,ammonia_assimilation,,,"heme, iron, LPS export, lipoprotein release, peptide/nickel, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580685,TH04436,TH,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,3044346,94.87,none,"lactose, mannose, melibiose, chitin","three carotenoid genes, chitobiose, fructose, glucose, galactose, sucrose, glucoside, cellulose, cellobiose, starch/glycogen, trehalsoe, maltose, dextrin, isomaltose",,"partial denitrification, ammonia_assimilation",,,"Cu-processing, heme, LPS export, lipoprotein release, molybdate, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580614,ME09830,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2317383,91.47,none,mannose,"three carotenoid genes, chitobiose, fructose, rhamnulose, galactose, cellulose degradation, cellobiose, glucoside, starch/glycogen, maltose",,ammonia_assimilation,thiosulfate,,"heme, iron(III), LPS export, lipoprotein release, molybdate, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580640,TE05144,TE,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,1999931,91.34,none,"NAG, lactose, mannose, melibiose, ethanol, fructuronate, galacturonate","three carotenoid genes, chitobiose, fructose, fructan, galactose, glycolate, cellobiose, sucrose, starch/glycogen, glucoside, maltose","urea_cycle, putrescine_biosynthesis",ammonia_assimilation,thiosulfate,,"heme, iron, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580548,ME22738,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2326823,90.52,none,"ethanol, propanoyl-CoA","UDP-NAG, glycolate, starch/glycogen",putrescine_biosynthesis,ammonia_assimilation,partial sulfate_red_ass,,"heme, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580589,ME05999,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2930247,90.14,none,"NAG, lactose, mannose, ethanol, melibiose, xylose, glycerol, fructuronate, thioadenosine, galactose","three carotenoid genes, chitobiose, glucose, galactose, fructose, starch/glycogen, cellulose degradation, maltose","urea_cycle, putrescine_biosynthesis, canavanine_biosynthesis",ammonia_assimilation,,alkanesulfonate,"heme, iron (III), LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,"Oxidative phosphorylation, luciferase gene?",,,
2582580669,TH03063,TH,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,3174086,89.94,none,"NAG, lactose, mannose, ethanol, rhamnose, melibiose, glucose, xylose, glycerol, galacturonate, arabinose, galactose, sucrose, trehalose","carotenoid synthesis, chitobiose, fructose, glucose, galactose, rhamnulose, mannan, raffinose, stachyose, manninotriose, melibiose, sucrose, celluose, cellobiose, glucoside, starch/glycogen, destrin, maltose, isomaltose, trehalose","urea_cycle, putrescine_biosynthesis, canavanine_biosynthesis","partial nitric oxide, ammonia_assimilation","sulfate_red_ass, sulfide_oxidation",sulfate_red_ass,"heme, iron(III), LPS export, lipoprotein release, molybdate, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580610,ME09147,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES;SAPROSPIRACEAE,2074546,89.62,none,,"three carotenoid genes, chitobiose, cellulose",,"ammonia_assimilation, nitronate monooxygenase",partial sulfate_red_ass,,"heme, LPS export, lipoprotein release, peptide/nickel, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580588,ME05983,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2908334,88.48,none,formate,"two carotenoid genes, chitin degradation, glycolate, cellulose degradation",,ammonia_assimilation,,,"polysaccharide phosphate, heme, LPS export, LPS transport, lipoprotein release, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580596,ME06777,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2325963,87.65,none,"NAG, mannose, ethanol, fructuronate","three carotenoid genes, chitobiose, UDP-NAG, galactose, glycolate, cellobiose, starch/glycogen","urea_cycle, putrescine_biosynthesis, canavanine_biosynthesis",ammonia_assimilation,,,"heme, iron(III), LPS export, lipoprotein release, phospholipid/cholesterol",,one chemotaxis protein,,,,
2582580532,ME14726,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2512767,87.12,none,"NAG, lactose, mannose, ethanol, melibiose, xylose, glycerol, fructuronate, galacturonate, chitin","Carotenoid synthesis, chitin, fructose, glucose, mannose, galactose, melibiose, pectin, starch/glycogen","urea_cycle, canavine_biosynthesis",ammonia_assimilation,thiosulfate,,"heme, LPS export, lipoprotein release, moybdae, phosphate, phospholipid/chloesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580535,ME15824,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,1897505,86.88,none,"lactose, mannose, melibiose","Some carotenoid genes, chitobiose, mannose, fucose, one cellulose degradation gene","urea_cycle, putrescine_biosynthesis, canavine_biosynthesis",ammonia_assimilation,,sulfate_red_ass,"branched aminos, LPS export, lipoprotein release, phospholipid/cholesterol,",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580605,ME07690,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,1813804,86.27,none,mannose,"chitobiose, glycolate",putrescine_biosynthesis,,,,"heme, iron(III), LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580647,TE08052,TE,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2139573,81.49,none,chitin,"two carotenoid genes, formate, chitobiose, glycolate",,ammonia_assimilation,,,"LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580563,ME03085,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES;SAPROSPIRACEAE,1783923,78.99,none,,"two carotenoid genes, UDP-NAG, mannose",,ammonia_assimilation,thiosulfate,partial sulfate_red_ass,"iron, heme, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580541,ME17509,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,1553935,75.73,none,"NAG, mannose, ethanol, melibiose, glycerol","Carotenoid synthesis, starch/glycogen, glucose","urea_cycle, putrescine_biosynthesis, canavanine_biosyntheis",ammonia_assimilation,,,"heme, LPS export, lipoprotein release",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580601,ME07198,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2736634,74.87,none,"glucose, ethanol, xylose, galacturonate, galactose, sucrose","three carotenoid genes, Wood-Ljungdahl, formate, chitobiose, glucose, galactose, fructan, rhamnulose, cellulose, glucoside, cellobiose, starch/glycogen, maltose","urea_cycle, spermidine_biosynthesis, canavanine_biosynthesis",ammonia_assimilation,thiosulfate,,"heme, iron(III), LPS export, lipoprotein release, phospholipid/cholesterol, phosphate, molybdate",,,Oxidative phosphorylation,,,
2582580533,ME15216,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,2272733,67.04,none,mannose,"UDP-NAG, mannose, glucose, cellobiose, sucrose",,ammonia_assimilation,,,"heme, LPS export, lipoprotein, phospholipid/cholesterol",,one chemotaxis protein,Oxidative phosphorylation,,,
2582580643,TE05716,TE,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES,1575342,62.83,none,,"two carotenoid genes, glucose, galactose, mannose, cellulose, glucoside, cellobiose, starch/glycogen, maltose",,"ammonia_assimilation, partial denitrification",,,"heme, LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580585,ME05493,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES;SAPROSPIRACEAE,2257317,60.66,none,"lactose, mannose, rhamnose, xylose","two carotenoid genes, glucose, galactose, cellulose degradation, maltose, starch/glycogen","putrescine_biosynthesis, spermidine_biosynthesis",ammonia_assimilation,,"sulfate_red_ass, alkanesulfonate","heme, LPS export, lipoprotein, molybdate, oligopeptide, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580587,ME05895,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES;SAPROSPIRACEAE,1297462,53.36,none,,"two carotenoid genes, cellulose degradation",,ammonia_assimilation,,one sulfate_red_ass gene,"LPS export, lipoprotein release, phosphate, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580590,ME06031,ME,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,BACTEROIDETES;SPHINGOBACTERIIA;SPHINGOBACTERIALES;SAPROSPIRACEAE,1331396,50.25,none,galactose,"two carotenoid genes, galactose, melibiose, cellobiose",,,,,"iron, LPS export, peptide/nickel, phospholipid/cholesterol",,,Oxidative phosphorylation,,,
2582580594,ME06450,ME,Chlamydiae;Chlamydiia;Chlamydiales;;;,CHLAMYDIAE;CHLAMYDIIA;CHLAMYDIALES;PARACHLAMYDIACEAE,2759591,88.26,none,,"chitobiose, glucose, starch/glycogen, cellobiose, trehalose",,"ammonia_assimilation, one nitrite reductase, nitronate monooxygenase?",,one sulfate_red_ass gene,"arginine, biotin, cystine, LPS export, lipo-protein release, manganese/zinc, oligopeptide, phospholipid/cholesterol, polar amino, spermidine/putrescine, zinc, type III secretion",,flagellum with type III secretion,Oxidative phosphorylation,,,
2582580622,TE00211,TE,Chlorobi;Chlorobia;Chlorobiales;;;,CHLOROBI;CHLOROBIA;CHLOROBIALES;CHLOROBIACEAE,2469065,93.99,2582580651,"citrate, mannose, ethanol, maltose, trehalose, formate, reductive TCA","carotenoid synthesis, reductive TCA, chitobiose, MurNAc, glucose","urea_cycle, nitrogen_fixation, putrescine_biosynthesis, canavanine_biosynthesis","nitrogen_fixation, ammonia_assimilation","thiosulfate, sulfide_oxidation","sulfate_red_ass, alkanesulfonate","amino acid/amide, cobalt/nickel, iron, LPS export, lipopolysaccharide, macrolide, manganese/zinc/iron, molybdate, phosphate, phospholipid/cholesterol, sulfate, sulfonate, thiol reductant",,one chemotaxis protein,Oxidative phosphorylation,,,n.fix
2582580651,TH00111,TH,Chlorobi;Chlorobia;Chlorobiales;;;,CHLOROBI;CHLOROBIA;CHLOROBIALES;CHLOROBIACEAE,2314202,91.75,2582580622,"citrate, mannose, ethanol, formate, reductive TCA, chitobiose, glucose, starch/glycogen, galacturonate","carotenoid synthesis, carbon fixation (RuBisCo), carbon fixation (reductive TCA)","urea_cycle, nitrogen_fixation, putrescine_biosynthesis, spermidine_biosynthesis, canavanine_biosynthesis","ammonia_assimilation, nitrogen fixation","thiosulfate, sulfide_oxidation","sulfate_red_ass, alkane_sulfonate","amino acid/amide, branched amino, cobalt/nickel, iron, LPS export, lipoprotein release, macrolide, molybdate, manganese/zinc/iron, phosphate, sulfate, sulfonate",,one chemotaxis protein,Oxidative phosphorylation,,,n.fix
2593339184,TH03520v2,TH,Chlorobi;Chlorobia;Chlorobiales;;;,CHLOROBI;CHLOROBIA;CHLOROBIALES;CHLOROBIACEAE,2156671,89.34,2582580625,"citrate, mannose, ethanol, maltose, trehalose, formate, reductive TCA","carotenoid biosynthesis, carbon fixation via Rubisco and reductive TCA, chitobiose, MurNAc, glucose, galacturonate, starch/glycogen, dextrin","urea_cycle, nitrogen_fixation, putrescine_biosynthesis, canavanine_biosynthesis","nitrogen fixation, ammonia_assimilation, hydroxylamine","thiosulfate, sulfide_oxidation","sulfate_red_ass, trithionate, one sulfite reductase from sulfate_dis_ass","amino acid/amide, capsular polysaccharide, cobalt/nickel, iron, LPS export, lipoprotein release, molybdate, manganese/zinc/iron, macrolide, phosphate, phospholipid/cholesterol, sulfate",,one chemotaxis protein,Oxidative phosphorylation,,,n.fix
2582580625,TE02493,TE,Chlorobi;Chlorobia;Chlorobiales;;;,CHLOROBI;CHLOROBIA;CHLOROBIALES;CHLOROBIACEAE,2371355,89.07,2593339184,,"carotenoid synthesis, chitobiose, glucose, starch/glycogen, dextrin, maltose, reductive TCA",nitrogen_fixation,"nitrogen_fixation, ammonia_assimilation, hydroxylamine reductase","thiosulfate, sulfide_oxidation",,"amino acid/amide, capsular polysaccharide, cobalt/nickel, iron, LPS export, lipoprotein release, macrolide, manganese/zinc/iron, molybdate, phosphate, phospholipid/cholesterol, sulfate, sulfonate, type IV secretion",,,Oxidative phosphorylation,,,n.fix
2582580574,ME00422,ME,Chloroflexi;[Blank];[Blank];;;,CHLOROFLEXI,749473,47.69,none,"malate, thioadenosine","two carotenoid genes, cellobiose, UDP-NAG, glucose",,ammonia_assimilation,,"partial sulfate_red_ass, extracellular alkanesulfonate","amino acid, branched amino, lipooligosaccharide, manganese/iron, oligopeptide, spermidine/putrescine",,,Oxidative phosphorylation,,,
2582580577,ME04500,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,2819350,94.63,none,"thioadenosine, mannose","carotenoid synthesis, carbon fixation (RuBisCo), glucose, fructose, glycolate, cellulose degradation + synthesis, galacturonate, maltose, starch/glycogen","urea_cycle, canavanine_biosynthesis",ammonia_assimilation,,sulfate_red_ass,"amino acid, biotin, carbohydrate, capsular polysaccharide, iron (III), LPS export, manganese, nickel, phosphate, phospholipid/cholesterol, phosphonate, spermidine/putrescine, sulfate, urea",,,"Oxidative phosphorylation, photosynthesis",,,
2582580537,ME01627,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,4154717,93.36,none,thioadenosine,"Carotenoid synthesis, UDP-NAG, fructose, glucose, mannose, starch/glycogen, cellobiose","nitrogen_fixation, nitrate_reduction, canavine_biosynthesis","assimilatory_nitrate_reduction, ammonia_assimilation",,"sulfate_red_ass, extracellular alkanesulfonate","bicarbonate, biotin, branched aminos, cobalt/nickel, amino acid, iron(III), LPS export, molybdate, multiple sugar, nickel, nitrate/nitrite, oligopeptide, phosphate, phospholipid/cholesterol, chitobiose, spermidine/putrescine, sulfate, sulfonate, urea, zinc",,chemotaxis,"Oxidative phosphorylation, photosynthesis",,,
2582580576,ME04498,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,2772794,92.14,none,"NAG, thioadenosine","carbon fixation (RuBisCo), carotenoid synthesis, glucose, fructose, UDP-NAG, glycolate, cellulose degradation, glycogen/starch, galacturonate",urea_cycle,"nitrate_red_ass, ammonia_assimilation",,sulfate_red_ass,"amino acid, bicarbonate, carbohydrate, iron, iron (III), LPS export, manganese/zinc/iron, nitrate/nitrite, osmoprotectant, phosphate, sulfate, urea",,one chemotaxis protein,"Oxidative phosphorylation, photosynthesis",,,
2582580531,ME14445,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,3309584,90.79,none,"thioadenosine, mannose, ethanol, CBB","carbon fixation (RuBisCo), UDP-NAG, glucose, mannose, cellobiose, starch/glycogen","urea_cycle, ammonia_assimilation, putrescine_biosynthesis, canavine_biosynthesis",ammonia_assimilation,alkane_sulfonate,"sulfate_red_ass, extracellular taurine, extracellular alkanesulfonate","amino acids, biocarbonate, biotin, branched aminos, carbohydrate, cobalt/nickel, iron (III) LPS export, molybdate, nickel, nitrate/nitrite, osmoprotectant, phsophate, phospholipid/cholesterol, chitobiose, spermidine/putrescine, sulfate, sulfonate, taurine, urea, zinc",,,"Oxidative phosphorylation, photosynthesis",,,
2582580551,ME02353,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,3350202,87.92,none,"NAG, thioadenosine, mannose, sucrose","carotenoid synthesis, carbon fixation, UDP-NAG, glucose, mellobiose, glycolate, mellobiose, cellobiose, sucrose",urea_cycle,,"nitrate_red_ass, nitrile, ammonia_assimilation",sulfate_red_ass,"bicarbonate, biotin, carbohydrate, iron(III), LPS export, nickel, nitrate/nitrite, phsophate, phospholipid/cholesterol, phosphonate, sulfate, urea",,one chemotaxis protein,"Oxidative phosphorylation, photosynthesis",,,
2582580525,ME01300,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,2333569,86.65,none,"NAG, thioadenosine","carbon fixation (RuBisCo), fructose, glucose, cellulose, glycogen/starch",urea_cycle,"assimilatory_nitrate_reduction, cyanate lyase",,sulf_ass_red,"amino acids, biotin, carbohydrate, iron, iron(III), LPS export, manganese, nickel, nitrate, nitrate/nitrite, phosphate, phospholipid/cholesterol, phosphonate, spermidine/putrescine, urea",,,"Oxidative phosphorylation, photosynthesis, cellulose synthase",,,
2582580591,ME06097,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,1913277,84.53,none,thioadenosine,"two carotenoid genes, glucose, galacturonate, cellobiose, starch/glycogen, maltose",,"ammonia_assimilation, one nitritre reductase",,sulfate_red_ass,"branched amino, carbohydrate, LPS export, oligopeptide, peptide/nickel, phospholipid/cholesterol",,flagellum with type III secretion,Oxidative phosphorylation,,,
2582580584,ME00548,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,4099996,83.22,none,"thioadenosine, sucrose","carbon fixation (Rubisco), chitobiose, glucose, glycolate, starch/glycogen, maltose, some carotenoid synthesis","urea_cycle, nitrogen_fixation, nitrate_reduction, canavanine_biosynthesis","nitrate_red_ass, nitrogen fixation, ammonia_assimilation",,,"methionine, arginine/lysine/histidine/glutamine, bicarbonate, biotin, branched amino, carbohydrate, cobalt/nickel, L-amino acid, iron, LPS export, LPS transport, molybdate, neutral amino, nitrate/nitrite, phosphate, phospholipid/cholesterol, phosphonate, chitobiose, spermidine/putrescine, sulfate, urea",,,"Oxidative phosphorylation, photosynthesis",,,n.fix
2582580552,ME02384,ME,Cyanobacteria;[Blank];[Blank];;;,CYANOBACTERIA,4193130,81.55,none,"thioadenosine, mannose","carotenoid synthesis, carbon fixation, starch/glycogen, cellobiose, glycolate, mannose, UDP-NAG, glucose","urea_cycle, nitrogen_fixation",ammonia_assimilation,,"sulfate_red_ass, extracellular taurine, extracellular alkanesulfonate","branched amino, methionine, glutamate, histidine, amino acid, arginine/lysine/histidine/glutamine, cobatl/nickel, aspartate/glutamate, glycine betaine/choline-binding lipoprotein, iron(III), LPS export, multiple sugar, neutral amino, phosphate, phosphonate, sulfate, sulfonate, taurine, urea",,one flagellar protein,"Oxidative phosphorylation, photosynthesis",,,
