SAMPLE	PWY_NAME	PWY_COMMON_NAME	NUM_REACTIONS	NUM_COVERED_REACTIONS	ORF_COUNT
m2582580543	PWY-6614	tetrahydrofolate biosynthesis	3	3	3
m2582580543	PWY-7606	"docosahexaenoate biosynthesis III (6-desaturase, mammals)"	14	3	6
m2582580543	PWY-7092	neolinustatin bioactivation	3	2	1
m2582580543	TRNA-CHARGING-PWY	tRNA charging	21	18	20
m2582580543	PWY-7205	CMP phosphorylation	2	2	2
m2582580543	PWY-5783	octaprenyl diphosphate biosynthesis	1	1	2
m2582580543	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	4	3	2
m2582580543	PWY-7560	methylerythritol phosphate pathway II	9	6	6
m2582580543	PYRIDOXSYN-PWY	pyridoxal 5-phosphate biosynthesis I	8	4	4
m2582580543	NONMEVIPP-PWY	methylerythritol phosphate pathway I	9	6	6
m2582580543	THREONINE-DEG2-PWY	L-threonine degradation II	2	2	3
m2582580543	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2582580543	TCA	TCA cycle I (prokaryotic)	10	5	10
m2582580543	PWY-7340	"9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)"	10	2	1
m2582580543	PWY3O-4106	NAD salvage pathway III	2	1	1
m2582580543	PWY-7224	purine deoxyribonucleosides salvage	6	3	2
m2582580543	PWY-7301	dTDP-4-O-demethyl-beta-L-noviose biosynthesis	5	3	3
m2582580543	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5	3	6
m2582580543	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	4	3	3
m2582580543	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	2	3
m2582580543	PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	5	2	2
m2582580543	PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)	2	1	1
m2582580543	PWY-6700	queuosine biosynthesis	4	2	3
m2582580543	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	2	1	2
m2582580543	PWY-4081	glutathione-peroxide redox reactions	3	1	1
m2582580543	PPGPPMET-PWY	ppGpp biosynthesis	6	3	2
m2582580543	THIOREDOX-PWY	thioredoxin pathway	2	1	1
m2582580543	PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	5	1	3
m2582580543	PWY-6733	sporopollenin precursors biosynthesis	18	5	3
m2582580543	PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	3	3	7
m2582580543	PWY-6435	4-hydroxybenzoate biosynthesis V	5	2	4
m2582580543	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	3	5
m2582580543	LCYSDEG-PWY	L-cysteine degradation II	3	1	1
m2582580543	PWY0-1264	biotin-carboxyl carrier protein assembly	4	2	2
m2582580543	ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	1	1	1
m2582580543	PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	5	4	5
m2582580543	PWY-0	putrescine degradation III	4	1	3
m2582580543	PWY-5030	L-histidine degradation III	6	4	4
m2582580543	P21-PWY	pentose phosphate pathway (partial)	3	3	3
m2582580543	GLUTSYNIII-PWY	L-glutamate biosynthesis III	1	1	2
m2582580543	PWY-6164	3-dehydroquinate biosynthesis I	2	2	2
m2582580543	PWY-735	jasmonic acid biosynthesis	19	7	5
m2582580543	PWY0-662	PRPP biosynthesis I	1	1	1
m2582580543	PWY-5852	demethylmenaquinol-8 biosynthesis I	1	1	1
m2582580543	FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	2	3
m2582580543	PWY-5853	demethylmenaquinol-6 biosynthesis I	1	1	1
m2582580543	P221-PWY	octane oxidation	5	3	5
m2582580543	PWY-5851	demethylmenaquinol-9 biosynthesis	1	1	1
m2582580543	PWY-4621	arsenate detoxification II (glutaredoxin)	2	1	1
m2582580543	GLNSYN-PWY	L-glutamine biosynthesis I	1	1	1
m2582580543	PWY1-2	L-alanine degradation IV	1	1	1
m2582580543	HOMOSER-METSYN-PWY	L-methionine biosynthesis I	5	1	1
m2582580543	PWY-5973	cis-vaccenate biosynthesis	5	3	4
m2582580543	P562-PWY	myo-inositol degradation I	7	1	2
m2582580543	PWY-7221	guanosine ribonucleotides de novo biosynthesis	4	4	4
m2582580543	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	2	10
m2582580543	PWY-7382	lipoate biosynthesis and incorporation (yeast)	7	3	1
m2582580543	GLYSYN-PWY	glycine biosynthesis I	1	1	1
m2582580543	PWY-7176	UTP and CTP de novo biosynthesis	3	3	5
m2582580543	PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)	9	4	7
m2582580543	PWY-7185	UTP and CTP dephosphorylation I	5	3	3
m2582580543	ASPARAGINE-DEG1-PWY	L-asparagine degradation I	1	1	4
m2582580543	PWY-6019	pseudouridine degradation	2	1	5
m2582580543	PWY0-901	L-selenocysteine biosynthesis I (bacteria)	3	2	2
m2582580543	NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	3	1	1
m2582580543	KDOSYN-PWY	Kdo transfer to lipid IVA I	2	1	1
m2582580543	PWY-31	canavanine degradation	2	1	2
m2582580543	MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	2	2	3
m2582580543	PWY-7158	L-phenylalanine degradation V	3	1	1
m2582580543	ASPARTATESYN-PWY	L-aspartate biosynthesis	1	1	2
m2582580543	PWY0-1477	ethanolamine utilization	1	1	1
m2582580543	ASPARTATE-DEG1-PWY	L-aspartate degradation I	1	1	2
m2582580543	TYRFUMCAT-PWY	L-tyrosine degradation I	5	3	3
m2582580543	PWY-6318	"L-phenylalanine degradation IV (mammalian, via side chain)"	9	2	3
m2582580543	MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	1	1	1
m2582580543	PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	3	1	1
m2582580543	PWY-5844	menaquinol-9 biosynthesis	1	1	1
m2582580543	PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	8	2	1
m2582580543	PWY-5892	menaquinol-12 biosynthesis	2	2	2
m2582580543	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	5	4	4
m2582580543	PWY-6654	phosphopantothenate biosynthesis III	4	1	1
m2582580543	PWY-5895	menaquinol-13 biosynthesis	2	2	2
m2582580543	PWY-5849	menaquinol-6 biosynthesis	1	1	1
m2582580543	PWY-5176	coumarin biosynthesis (via 2-coumarate)	5	1	1
m2582580543	PWY-5839	menaquinol-7 biosynthesis	2	2	2
m2582580543	PWY-5891	menaquinol-11 biosynthesis	2	2	2
m2582580543	PANTO-PWY	phosphopantothenate biosynthesis I	4	1	1
m2582580543	PWY-5890	menaquinol-10 biosynthesis	2	2	2
m2582580543	PWY-7179	purine deoxyribonucleosides degradation I	4	3	1
m2582580543	DETOX1-PWY	superoxide radicals degradation	2	1	2
m2582580543	PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)	3	1	2
m2582580543	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	7	7
m2582580543	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6	5	7
m2582580543	PWY-5155	beta-alanine biosynthesis III	1	1	1
m2582580543	PWY-5122	geranyl diphosphate biosynthesis	1	1	2
m2582580543	PWY-5989	stearate biosynthesis II (bacteria and plants)	6	3	4
m2582580543	GLUCONEO-PWY	gluconeogenesis I	13	9	12
m2582580543	PWY-622	starch biosynthesis	10	3	4
m2582580543	GLUTAMINDEG-PWY	L-glutamine degradation I	1	1	7
m2582580543	PWY-6617	adenosine nucleotides degradation III	1	1	1
m2582580543	GLUTORN-PWY	L-ornithine biosynthesis I	5	2	2
m2582580543	PWY-5971	palmitate biosynthesis II (bacteria and plants)	31	16	4
m2582580543	PWY-7112	4-hydroxy-2-nonenal detoxification	4	1	1
m2582580543	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	4	2	2
m2582580543	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	12	10	13
m2582580543	PWY-5143	long-chain fatty acid activation	1	1	1
m2582580543	PWY-6124	inosine-5-phosphate biosynthesis II	5	2	3
m2582580543	PWY-6000	gamma-linolenate biosynthesis II (animals)	2	2	3
m2582580543	PWY-7049	"icosapentaenoate biosynthesis II (6-desaturase, mammals)"	7	2	3
m2582580544	ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	1	1	1
m2582580544	PWY-6700	queuosine biosynthesis	4	2	2
m2582580544	PWY-6681	neurosporaxanthin biosynthesis	7	2	2
m2582580544	PWY-6703	preQ0 biosynthesis	4	1	1
m2582580544	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2582580544	PWY-6363	"D-myo-inositol (1,4,5)-trisphosphate degradation"	3	1	1
m2582580544	PWY-4261	glycerol degradation I	2	1	2
m2582580544	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	2	2
m2582580544	MANNCAT-PWY	D-mannose degradation	1	1	1
m2582580544	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	2	1	1
m2582580544	PWY-6599	guanine and guanosine salvage II	2	1	2
m2582580544	PWY-2301	myo-inositol biosynthesis	2	1	1
m2582580544	PWY-6620	guanine and guanosine salvage	2	1	2
m2582580544	PWY-7382	lipoate biosynthesis and incorporation (yeast)	7	3	1
m2582580544	PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)	2	1	1
m2582580544	PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation	2	1	1
m2582580544	PWY0-1301	melibiose degradation	1	1	2
m2582580544	PWY-842	starch degradation I	3	1	1
m2582580544	PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	5	1	1
m2582580544	PWY-6012-1	acyl carrier protein activation	1	1	2
m2582580544	KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis I	2	1	1
m2582580544	PWY0-461	L-lysine degradation I	1	1	1
m2582580544	PWY-6695	oxalate degradation II	3	1	2
m2582580544	PWY-6788	cellulose degradation II (fungi)	3	1	1
m2582580544	PWY-7221	guanosine ribonucleotides de novo biosynthesis	4	3	3
m2582580544	PWY0-981	taurine degradation IV	1	1	2
m2582580544	GLNSYN-PWY	L-glutamine biosynthesis I	1	1	1
m2582580544	GLYSYN-PWY	glycine biosynthesis I	1	1	1
m2582580544	PWY-6268	adenosylcobalamin salvage from cobalamin	1	1	1
m2582580544	PWY-6000	gamma-linolenate biosynthesis II (animals)	2	1	6
m2582580544	PWY0-1021	L-alanine biosynthesis III	1	1	2
m2582580544	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	10	4	2
m2582580544	PWY-5097	L-lysine biosynthesis VI	7	2	2
m2582580544	PWY-5143	long-chain fatty acid activation	1	1	6
m2582580544	PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	2	2	2
m2582580544	FAO-PWY	fatty acid beta-oxidation I	7	2	17
m2582580544	PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)	1	1	1
m2582580544	PWY0-1309	chitobiose degradation	2	1	1
m2582580544	PWY-6124	inosine-5-phosphate biosynthesis II	5	3	5
m2582580544	PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	3	1	1
m2582580544	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5	3	6
m2582580544	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	5	3	6
m2582580544	PWY-5198	factor 420 biosynthesis	5	2	3
m2582580544	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	4	4
m2582580544	PWY-7185	UTP and CTP dephosphorylation I	5	2	1
m2582580544	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	4	1	3
m2582580544	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	2	5
m2582580544	HISTSYN-PWY	L-histidine biosynthesis	10	8	8
m2582580544	PWY-5837	"1,4-dihydroxy-2-naphthoate biosynthesis"	7	2	2
m2582580544	HOMOSER-THRESYN-PWY	L-threonine biosynthesis	2	1	1
m2582580544	PWY-7176	UTP and CTP de novo biosynthesis	3	1	2
m2582580544	PWY0-1353	succinate to cytochrome bd oxidase electron transfer	2	2	8
m2582580544	PWY66-387	fatty acid alpha-oxidation II	6	3	8
m2582580544	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	4	1	2
m2582580544	PWY-7205	CMP phosphorylation	2	1	2
m2582580544	TRPSYN-PWY	L-tryptophan biosynthesis	6	5	5
m2582580544	PWY3DJ-35471	L-ascorbate biosynthesis IV	6	1	1
m2582580544	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	5	3	2
m2582580544	PWY-5177	glutaryl-CoA degradation	5	3	3
m2582580544	PWY0-1313	acetate conversion to acetyl-CoA	1	1	1
m2582580544	GLUTAMINDEG-PWY	L-glutamine degradation I	1	1	4
m2582580544	PWY-6527	stachyose degradation	7	4	4
m2582580544	PWY-5	canavanine biosynthesis	4	1	1
m2582580544	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	4	2	3
m2582580544	PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6	3	3
m2582580544	CITRULLINE-DEG-PWY	L-citrulline degradation	2	1	1
m2582580544	PWY-4984	urea cycle	5	2	3
m2582580544	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	9	6	6
m2582580544	PWY-6596	adenosine nucleotides degradation I	8	5	3
m2582580544	PWY-5695	urate biosynthesis/inosine 5-phosphate degradation	4	3	3
m2582580544	LEUSYN-PWY	L-leucine biosynthesis	6	1	1
m2582580544	PWY-6164	3-dehydroquinate biosynthesis I	2	1	1
m2582580544	ASPARTATESYN-PWY	L-aspartate biosynthesis	1	1	1
m2582580544	PWY-901	methylglyoxal degradation II	2	1	1
m2582580544	ASPARTATE-DEG1-PWY	L-aspartate degradation I	1	1	1
m2582580544	PWY-6614	tetrahydrofolate biosynthesis	3	1	2
m2582580544	PWY0-1479	tRNA processing	10	2	1
m2582580544	PWY-5087	L-glutamate degradation VI (to pyruvate)	4	1	1
m2582580544	TRNA-CHARGING-PWY	tRNA charging	21	8	9
m2582580544	PWY-2161	folate polyglutamylation	5	4	3
m2582580544	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	6	2	3
m2582580544	TYRFUMCAT-PWY	L-tyrosine degradation I	5	1	1
m2582580544	PWY-7723	bacterial bioluminescence	8	1	4
m2582580544	PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II	7	3	3
m2582580544	PWY-5148	acyl-CoA hydrolysis	1	1	3
m2582580544	PWY-7292	"oleate beta-oxidation (thioesterase-dependent, yeast)"	2	1	3
m2582580544	NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	3	1	1
m2582580544	PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	3	1	1
m2582580544	PWY-6733	sporopollenin precursors biosynthesis	18	4	9
m2582580544	P21-PWY	pentose phosphate pathway (partial)	3	2	1
m2582580545	PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	8	4	4
m2582580545	PWY-6435	4-hydroxybenzoate biosynthesis V	5	2	5
m2582580545	PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	8	4	4
m2582580545	PWY-5143	long-chain fatty acid activation	1	1	2
m2582580545	TRNA-CHARGING-PWY	tRNA charging	21	11	13
m2582580545	PWY-6000	gamma-linolenate biosynthesis II (animals)	2	1	2
m2582580545	PROPIONMET-PWY	propanoyl CoA degradation I	3	2	2
m2582580545	PWY-735	jasmonic acid biosynthesis	19	6	5
m2582580545	PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)	1	1	2
m2582580545	NAGLIPASYN-PWY	lipid IVA biosynthesis	6	2	2
m2582580545	PWY-6028	acetoin degradation	1	1	1
m2582580545	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	1	2
m2582580545	PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	3	1	2
m2582580545	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	2	1	2
m2582580545	PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)	3	1	1
m2582580545	SAM-PWY	S-adenosyl-L-methionine biosynthesis	1	1	1
m2582580545	PWY-6700	queuosine biosynthesis	4	1	1
m2582580545	PWY-5652	2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	4	2	3
m2582580545	THREONINE-DEG2-PWY	L-threonine degradation II	2	2	2
m2582580545	PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	5	1	1
m2582580545	PWY0-1264	biotin-carboxyl carrier protein assembly	4	1	1
m2582580545	PWY-0	putrescine degradation III	4	1	1
m2582580545	PWY-6012-1	acyl carrier protein activation	1	1	2
m2582580545	FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	2	4
m2582580545	LCYSDEG-PWY	L-cysteine degradation II	3	1	1
m2582580545	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	4	2	2
m2582580545	TCA	TCA cycle I (prokaryotic)	10	7	8
m2582580545	PWY-5901	"2,3-dihydroxybenzoate biosynthesis"	3	1	1
m2582580545	PWY-5973	cis-vaccenate biosynthesis	5	3	5
m2582580545	PWY-5138	"unsaturated, even numbered fatty acid beta-oxidation"	6	2	4
m2582580545	THIOREDOX-PWY	thioredoxin pathway	2	1	1
m2582580545	PANTO-PWY	phosphopantothenate biosynthesis I	4	2	2
m2582580545	PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	3	2	6
m2582580545	GLYCLEAV-PWY	glycine cleavage	3	2	2
m2582580545	PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis	5	4	1
m2582580545	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5	3	6
m2582580545	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	5	3	6
m2582580545	METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	3	2	2
m2582580545	PWY-4621	arsenate detoxification II (glutaredoxin)	2	1	1
m2582580545	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	4	3	2
m2582580545	PWY0-1021	L-alanine biosynthesis III	1	1	3
m2582580545	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	10	4	3
m2582580545	PWY-842	starch degradation I	3	1	1
m2582580545	PWY-7301	dTDP-4-O-demethyl-beta-L-noviose biosynthesis	5	3	4
m2582580545	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	4	3	4
m2582580545	UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	5	3	3
m2582580545	PWY0-662	PRPP biosynthesis I	1	1	1
m2582580545	PWY-7179	purine deoxyribonucleosides degradation I	4	3	1
m2582580545	PWY-5155	beta-alanine biosynthesis III	1	1	1
m2582580545	PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	1	1	1
m2582580545	PWY-7180	2-deoxy-alpha-D-ribose 1-phosphate degradation	3	1	1
m2582580545	LEU-DEG2-PWY	L-leucine degradation I	6	2	2
m2582580545	PROUT-PWY	L-proline degradation	3	2	2
m2582580545	GLYSYN-THR-PWY	glycine biosynthesis IV	1	1	1
m2582580545	PWY0-1313	acetate conversion to acetyl-CoA	1	1	2
m2582580545	ASPARAGINE-DEG1-PWY	L-asparagine degradation I	1	1	1
m2582580545	TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)	3	2	2
m2582580545	PWY-5122	geranyl diphosphate biosynthesis	1	1	1
m2582580545	GLUTDEG-PWY	L-glutamate degradation II	2	1	1
m2582580545	DAPLYSINESYN-PWY	L-lysine biosynthesis I	9	4	4
m2582580545	PWY-6124	inosine-5-phosphate biosynthesis II	5	3	4
m2582580545	PWY-5686	UMP biosynthesis	6	4	5
m2582580545	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	3	8
m2582580545	PWY-5905	hypusine biosynthesis	5	4	1
m2582580545	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	12	7	6
m2582580545	PWY-7183	pyrimidine nucleobases salvage I	1	1	1
m2582580545	PWY-7344	UDP-D-galactose biosynthesis	1	1	2
m2582580545	PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	5	2	2
m2582580545	GLUTAMINDEG-PWY	L-glutamine degradation I	1	1	3
m2582580545	PWY-6019	pseudouridine degradation	2	1	3
m2582580545	PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	4	2	3
m2582580545	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	4	3	3
m2582580545	PWY-7221	guanosine ribonucleotides de novo biosynthesis	4	3	3
m2582580545	PWY-4081	glutathione-peroxide redox reactions	3	1	1
m2582580545	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	4	3	3
m2582580545	PWY-4381	fatty acid biosynthesis initiation I	3	3	3
m2582580545	PWY-7205	CMP phosphorylation	2	1	1
m2582580545	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	2	1
m2582580545	PWY-2301	myo-inositol biosynthesis	2	1	1
m2582580545	PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	2	2	2
m2582580545	PWY-4984	urea cycle	5	1	2
m2582580545	PWY0-1299	arginine dependent acid resistance	1	1	1
m2582580545	PWY-6363	"D-myo-inositol (1,4,5)-trisphosphate degradation"	3	1	1
m2582580545	PWY-40	putrescine biosynthesis I	2	2	2
m2582580545	PWY-5783	octaprenyl diphosphate biosynthesis	1	1	1
m2582580545	PWY-6617	adenosine nucleotides degradation III	1	1	1
m2582580545	PWY0-1261	anhydromuropeptides recycling	10	4	4
m2582580545	PWY-7185	UTP and CTP dephosphorylation I	5	3	2
m2582580545	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	5	4	3
m2582580545	PPGPPMET-PWY	ppGpp biosynthesis	6	3	2
m2582580545	PWY-5989	stearate biosynthesis II (bacteria and plants)	6	3	6
m2582580545	PWY-7340	"9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)"	10	2	1
m2582580545	PWY-5971	palmitate biosynthesis II (bacteria and plants)	31	16	6
m2582580545	PWY-7176	UTP and CTP de novo biosynthesis	3	3	3
m2582580545	PWY0-1241	ADP-L-glycero-beta-D-manno-heptose biosynthesis	5	3	4
m2582580545	PWY-6620	guanine and guanosine salvage	2	2	2
m2582580545	PWY-6609	adenine and adenosine salvage III	4	3	2
m2582580545	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	9	8	7
m2582580546	PWY-5076	L-leucine degradation III	3	2	3
m2582580546	PWY-5078	L-isoleucine degradation II	3	2	3
m2582580546	PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	6	6	7
m2582580546	PWY-5101	L-isoleucine biosynthesis II	8	4	4
m2582580546	PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	4	3	3
m2582580546	PWY-6317	D-galactose degradation I (Leloir pathway)	6	2	3
m2582580546	ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	3	2	2
m2582580546	VALSYN-PWY	L-valine biosynthesis	4	3	3
m2582580546	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	4	3	3
m2582580546	PYRIDOXSYN-PWY	pyridoxal 5-phosphate biosynthesis I	8	4	4
m2582580546	MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	1	1	1
m2582580546	PWY-5844	menaquinol-9 biosynthesis	1	1	1
m2582580546	PWY-5892	menaquinol-12 biosynthesis	2	1	1
m2582580546	TRNA-CHARGING-PWY	tRNA charging	21	17	18
m2582580546	PWY-5895	menaquinol-13 biosynthesis	2	1	1
m2582580546	PWY-2781	cis-zeatin biosynthesis	5	1	1
m2582580546	PWY-5849	menaquinol-6 biosynthesis	1	1	1
m2582580546	PWY-5839	menaquinol-7 biosynthesis	2	1	1
m2582580546	PWY-5891	menaquinol-11 biosynthesis	2	1	1
m2582580546	PWY-5890	menaquinol-10 biosynthesis	2	1	1
m2582580546	PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	3	2	3
m2582580546	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	2	1	2
m2582580546	PWY-7560	methylerythritol phosphate pathway II	9	3	4
m2582580546	PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	3	3	3
m2582580546	PWY-6700	queuosine biosynthesis	4	3	3
m2582580546	PWY-4621	arsenate detoxification II (glutaredoxin)	2	1	1
m2582580546	LEUSYN-PWY	L-leucine biosynthesis	6	4	4
m2582580546	THIOREDOX-PWY	thioredoxin pathway	2	1	1
m2582580546	GLUAMCAT-PWY	N-acetylglucosamine degradation I	2	2	4
m2582580546	FASYN-ELONG-PWY	fatty acid elongation -- saturated	5	3	5
m2582580546	PWY-5973	cis-vaccenate biosynthesis	5	3	6
m2582580546	XYLCAT-PWY	xylose degradation I	2	2	7
m2582580546	PWY66-162	ethanol degradation IV	3	2	3
m2582580546	HISTSYN-PWY	L-histidine biosynthesis	10	6	5
m2582580546	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	9	6	5
m2582580546	PWY-6012-1	acyl carrier protein activation	1	1	1
m2582580546	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	3	3	4
m2582580546	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	4	3	3
m2582580546	GLYCLEAV-PWY	glycine cleavage	3	3	3
m2582580546	PWY0-1264	biotin-carboxyl carrier protein assembly	4	2	2
m2582580546	PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	5	2	2
m2582580546	PWY-7382	lipoate biosynthesis and incorporation (yeast)	7	3	1
m2582580546	PWY-1042	glycolysis IV (plant cytosol)	10	7	8
m2582580546	PWY-7247	beta-D-glucuronide and D-glucuronate degradation	3	1	1
m2582580546	PWY-5941	glycogen degradation II	6	3	2
m2582580546	PWY0-1295	pyrimidine ribonucleosides degradation	2	1	1
m2582580546	PWY-6737	starch degradation V	4	2	2
m2582580546	PWY-7181	pyrimidine deoxyribonucleosides degradation	3	2	1
m2582580546	PWY-7238	sucrose biosynthesis II	8	3	3
m2582580546	PWY-5155	beta-alanine biosynthesis III	1	1	1
m2582580546	PWY-6002	lotaustralin degradation	2	1	1
m2582580546	PWY-7089	taxiphyllin bioactivation	1	1	1
m2582580546	PWY-3121	linamarin degradation	2	1	1
m2582580546	PWY-7091	linustatin bioactivation	4	2	1
m2582580546	PWY-6788	cellulose degradation II (fungi)	3	1	1
m2582580546	PWY-7219	adenosine ribonucleotides de novo biosynthesis	4	3	5
m2582580546	PWY-7092	neolinustatin bioactivation	3	2	1
m2582580546	DETOX1-PWY	superoxide radicals degradation	2	2	3
m2582580546	PWY-6333	acetaldehyde biosynthesis I	1	1	2
m2582580546	PWY-5082	L-methionine degradation III	3	1	2
m2582580546	GLUCONSUPER-PWY	D-gluconate degradation	1	1	1
m2582580546	PWY-6936	seleno-amino acid biosynthesis	5	2	3
m2582580546	CITRULLINE-DEG-PWY	L-citrulline degradation	2	1	1
m2582580546	PWY-7205	CMP phosphorylation	2	1	1
m2582580546	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	9	3	3
m2582580546	CYSTSYN-PWY	L-cysteine biosynthesis I	2	2	3
m2582580546	PWY-5913	partial TCA cycle (obligate autotrophs)	11	9	16
